ID,AGE,EDUC,Gender,EARN,Job class
33308,47,4,2,33775,5
33326,34,5,2,33865,6
33336,49,4,1,33909,5
33339,33,4,1,33925,5
33344,29,6,2,34000,5
33417,56,4,2,34000,5
33425,50,4,2,34000,6
33485,29,5,2,34000,5
33493,55,4,1,34000,5
33498,40,4,1,34000,5
33513,30,3,1,34000,5
33515,35,4,1,34000,6
33544,31,3,1,34000,5
33568,62,6,2,34000,6
33570,34,4,2,34001,5
33598,32,4,1,34004,5
33606,30,5,2,34004,6
33680,36,4,2,34005,5
33684,40,4,2,34010,5
33689,26,5,2,34010,5
33714,49,4,2,34021,6
33727,34,4,2,34030,6
33734,56,4,1,34036,5
33746,29,5,2,34175,5
33752,49,3,1,34269,5
33755,41,3,2,34276,5
33759,54,3,1,34320,5
33818,38,4,2,34646,5
33838,41,3,1,34666,5
33883,27,4,2,34750,5
33906,34,5,1,34800,5
33911,51,4,1,34843,5
33914,63,4,2,34900,5
33942,45,3,1,34908,5
33985,47,3,2,34924,5
34029,38,3,1,35000,5
34061,41,4,1,35000,5
34072,41,5,2,35000,5
34083,51,3,1,35000,7
34112,53,5,2,35000,5
34126,36,2,1,35000,7
34136,44,3,1,35000,7
34142,55,2,1,35000,5
34215,38,4,1,35000,6
34262,55,4,1,35000,5
34266,26,4,2,35000,5
34291,30,4,1,35000,6
34299,43,2,1,35000,5
34302,27,3,1,35000,7
34305,46,4,1,35000,5
34331,27,4,1,35000,5
34342,41,5,1,35000,5
34348,28,4,1,35000,5
34359,44,3,2,35000,5
34364,42,4,2,35000,7
34394,35,4,1,35000,6
34402,55,2,1,35000,6
34403,53,4,2,35000,6
34430,43,3,1,35000,5
34476,52,4,2,35000,5
34510,62,2,2,35000,7
34527,29,3,2,35000,5
34546,34,3,1,35000,7
34556,62,2,1,35000,5
34620,27,3,1,35006,5
34632,44,3,1,35020,7
34643,29,4,1,35020,6
34649,33,5,1,35025,5
34663,30,4,2,35045,5
34664,52,3,1,35050,5
34665,43,3,1,35050,5
34670,38,4,1,35054,7
34693,45,4,2,35100,5
34702,54,4,2,35100,6
34703,59,4,2,35100,5
34713,28,4,1,35100,5
34719,38,3,1,35100,5
34760,29,5,1,35105,5
34789,39,5,2,35125,7
34814,47,3,2,35130,5
34831,43,5,1,35200,7
34850,48,4,2,35200,7
34860,50,5,2,35200,6
34873,32,4,1,35225,5
34986,39,3,2,35250,5
34990,54,4,2,35283,6
35006,28,4,1,35300,5
35023,65,5,1,35325,5
35045,26,5,1,35350,7
35059,52,3,1,35391,5
35062,51,6,2,35500,5
35083,32,3,2,35500,5
35086,56,6,2,35550,6
35093,42,6,2,35569,5
35103,32,6,2,35600,5
35132,29,6,1,35695,5
35153,46,6,1,35710,5
35161,42,4,2,35750,5
35164,38,3,2,35762,5
35173,53,1,1,35800,5
35178,27,4,1,36000,6
35182,29,5,2,36000,5
35187,25,3,1,36000,5
35257,42,4,1,36000,5
35274,39,3,1,36000,5
35294,36,6,2,36000,6
35313,50,3,1,36000,5
35352,29,4,2,36000,5
35366,51,3,1,36000,7
35388,29,3,1,36001,5
35389,40,3,2,36007,5
35406,28,4,1,36010,5
35457,29,5,2,36025,5
35465,55,3,2,36042,5
35473,52,4,1,36084,7
35572,52,3,1,36142,5
35599,45,5,1,36143,5
35614,35,3,1,36150,6
35623,41,3,2,36160,5
35627,44,4,1,36200,5
35642,41,3,1,36201,5
35643,28,6,2,36300,6
35644,37,5,1,36334,5
35680,51,4,1,36337,5
35686,37,4,1,36363,5
35734,57,4,2,36400,7
35772,58,3,1,36417,5
35781,60,4,2,36436,6
35802,27,5,1,36450,6
35817,42,5,1,36492,5
35841,36,4,1,36535,5
35849,45,5,1,36622,5
35857,36,3,2,36700,6
35873,41,3,1,36770,5
35880,53,6,2,36773,6
35886,47,6,1,36815,5
35913,35,4,1,36886,5
35926,48,4,2,36976,5
35987,62,3,1,36980,5
35990,32,4,2,37000,5
35993,30,4,1,37000,5
35994,38,2,1,37000,5
36007,58,3,1,37000,5
36013,30,5,2,37000,5
36014,48,5,2,37000,6
36037,27,5,2,37005,5
36050,28,4,1,37005,5
36080,28,3,1,37005,5
36100,46,5,1,37010,6
36132,39,2,1,37032,5
36143,42,3,1,37050,5
36212,47,4,1,37075,5
36224,33,6,2,37081,5
36229,31,5,1,37100,5
36238,50,4,1,37192,6
36244,40,4,1,37200,5
36248,25,5,1,37283,5
36298,30,3,1,37360,5
36302,44,5,2,37400,5
36358,26,5,2,37440,5
36363,45,3,2,37475,5
36436,57,4,2,37490,5
36439,63,3,2,37498,5
36452,51,4,1,37500,5
36492,59,4,2,37500,5
36515,49,5,1,37500,5
36527,39,5,2,37500,5
36532,44,4,2,37519,5
36548,25,3,2,37520,5
